image_name|caption_text
1000092795.jpg| 두 명의 젊은 백인 남성이 많은 덤불 근처에 있습니다. 녹색 셔츠를 입은 두 남자가 마당에 서 있습니다. 정원에 서있는 파란 셔츠를 입은 남자. 두 친구는 함께 보낸 시간을 즐깁니다.
10002456.jpg| 근로자들은 위에서 장비를 내려다 본다. 단단한 모자를 쓰고있는 기계에서 일하는 두 남자. 키가 큰 구조 위에 4 명의 남자. 큰 장비에 세 남자.
1000268201.jpg| 분홍색 드레스를 입은 어린 소녀가 나무 오두막에 들어갑니다. 그녀의 극장으로 계단을 오르는 어린 소녀. 어린 소녀가 나무 극장으로 등반합니다 나무 건물에 들어가는 소녀.
1000344755.jpg| 파란 셔츠를 입은 남자가 창문을 청소하는 사다리 위에 서 있습니다. 사다리에있는 남자가 키 큰 건물의 창문을 청소합니다. 사다리 청소 창에 청바지와 청바지를 입은 남자 사다리의 남자가 창문을 청소합니다
1000366164.jpg| 카메라로 요리하고 농담하는 두 남자. 스토브에 부엌 요리 음식을 요리하는 두 남자. 두 사람이 음식을 준비하는 스토브에 있습니다. 두 남자가 식사를 요리하고 있습니다.
1000523639.jpg| 그린의 한 남자는 기타를 들고 다른 남자는 셔츠를 관찰합니다. 한 남자가 기타 연주자 의상을 고치고 있습니다. 다른 남자의 코트를 꿰매는 남자. 두 소년은 기타를 연주합니다
1000919630.jpg| 남자가 큰 박제 동물을 들고있는 의자에 앉아 있습니다. 한 남자가 박제 사자의 마무리 터치를 완성합니다. 남자는 큰 박제 사자 장난감을 가지고 있습니다. 한 남자가 박제 사자에게 웃고 있습니다
10010052.jpg| 길을 천천히 미끄러지면서 핸드폰으로 말하는 트렌디 한 소녀. 롤러 블레이드를 착용 한 청년이 귀에 휴대 전화를 들고 있습니다. 스케이트를 타는 동안 핸드폰에 어린 소녀가 있습니다. 핸드폰에서 이야기하고 롤러 스케이트를 착용하는 여자.
1001465944.jpg| 3 명이 큰 파이프 근처에 서서 금속 난간 근처에 서 있습니다. 한 젊은 여성이 엉덩이 검은 복장을 입은 두 젊은이를지나갑니다. 큰 지갑을 가진 여성이 문을 걷고 있습니다. 건물 밖에 서있는 몇몇 사람들.
1001545525.jpg| 밤에 두 명의 젊은이들이 길가 난간을 뛰어 넘고 있습니다. 한밤중에 폴란드에서 춤을 추는 소년. 셔츠가없는 두 남자. 두 사람이 함께 문을 뛰어 넘고 있습니다
1001573224.jpg| 스튜디오의 발레 댄서들은 멋진 형태로 점프하는 연습 연습. 댄스 연습실에서 다섯 명의 소녀가 동시에 뛰어 내리고 있습니다. 발레 수업에서 5 명의 소녀 춤과 굽힘 발. 5 명의 소녀들이 순서대로 점프하는 발레 클래스.
1001633352.jpg| 4 명의 우연히 옷을 입은 남자들이 돌담이있는 야외에서 계단을 뛰어 넘는다. 4 명의 남자 3 명이 모자를 쓰고 계단 꼭대기에서 뛰어 내리지 않습니다. 흥분된 얼굴을 가진 4 명의 남자가 계단 꼭대기에서 뛰어 내리고 있습니다. 4 명이 계단 비행기에서 뛰어 내리고 있습니다.
1001773457.jpg| 도로에서 서로 놀고있는 검은 개와 3 색 개. 다른 품종의 두 마리가 길에서 서로를 바라보고 있습니다. 포장 도로에 두 마리의 개가 서로를 향해 움직입니다. 검은 개와 발견 된 개가 싸우고 있습니다
1001896054.jpg| John Deere Tractors는 거리를 순항하는 반면 운전자는 의류를 쉽게 입을 수 있습니다. 네온 녹색과 주황색 유니폼을 입은 남자가 녹색 트랙터에서 운전하고 있습니다. 포장 된 거리를 운전하는 헤드폰을 착용 한 트랙터의 남자. 이 나라의 주요 도로에서 John Deere 트랙터를 운전하는 남자.
100197432.jpg| 몇몇 여성들은 높은 건물이있는 도시 거리에 서 있습니다. 한 무리의 여성이 버스 앞에 서 있습니다. 몇몇 여성들은 도시에서 밖에서 기다립니다. 여자들은 밖에 서 있습니다
100207720.jpg| 안경을 쓴 검은 색 꼭대기에있는 여성은 분말 케이크에 가루 설탕을 뿌려줍니다. 안경을 쓰고있는 여자는 가루 설탕을 그녀의 번트 케이크에 뿌린다. 초콜릿 케이크 위에 가루 설탕을 체질하는 검은 재킷의 소녀. 서있는 여자는 케이크 위에 팬을 들고 있습니다.
1002674143.jpg| 페인트로 덮인 어린 소녀는 그릇에 손을 대고 그려진 무지개 앞에 앉아 있습니다. 무지개 그림 앞에 피그 테일이있는 소녀가 있습니다. 어린 소녀가 큰 페인트 무지개 앞에 앉아 있습니다. 잔디에 바깥에 그림을 그리는 피그 테일을 가진 어린 소녀.
1003163366.jpg| 한 남자는 흰 개가 묶인 벤치에 누워 있습니다. 벤치에 누워서 땅에 앉아 개의 가죽 끈을 잡고 셔츠가없는 남자는 개와 함께 공원 벤치에 누워 있습니다. 그의 개가 그에게 앉는 동안 한 남자가 벤치에 눕습니다.
